high_i_o_read,high_i_o_write,high_memory,network_outgoing_pod_adservice,network_outgoing_pod_cartservice,network_outgoing_pod_checkoutservice,network_outgoing_pod_currencyservice,network_outgoing_pod_emailservice,network_outgoing_pod_frontend,network_outgoing_pod_loadgenerator,network_outgoing_pod_loadgenerator,network_outgoing_pod_paymentservice,network_outgoing_pod_productcatalogservice,network_outgoing_pod_recommendationservice,network_outgoing_pod_redis,network_outgoing_pod_shippingservice,network_outgoing_system,cpu_pod_adservice,cpu_pod_cartservice,cpu_pod_checkoutservice,cpu_pod_currencyservice,cpu_pod_emailservice,cpu_pod_frontend,cpu_pod_loadgenerator,cpu_pod_loadgenerator,cpu_pod_loadgenerator,cpu_pod_paymentservice,cpu_pod_productcatalogservice,cpu_pod_recommendationservice,cpu_pod_redis,cpu_pod_shippingservice,cpu_system,high_pod_restart
1173,898,12448710656.0,4303,13860,14990,18426,1376,434769,25016.0,5332.0,1317,93110,11769,3851,4271,632391,0.00452,0.0231,0.00581,0.0767,0.00326,0.0339,0.0246,,0.00485,0.0103,0.0141,0.0128,0.00273,0.00284,0.0183,0.0
1165,898,12449574912.0,4303,13860,14990,18426,1376,434769,24680.0,5400.0,1181,93110,11769,3851,4271,631988,0.00502,0.0231,0.00581,0.0767,0.00334,0.0339,0.0249,,0.00479,0.0103,0.0141,0.0128,0.00298,0.00324,0.0184,0.0
1179,898,12455841792.0,4103,13731,14990,18426,1331,434769,24345.0,5469.0,1225,93110,11769,3851,4250,631370,0.00519,0.0231,0.00581,0.0767,0.00334,0.0339,0.0253,,0.00472,0.0103,0.0145,0.0128,0.00298,0.00324,0.0185,0.0
1171,913,12458774528.0,3970,13731,14990,18426,1365,405860,23730.0,5207.0,1225,93110,11769,3851,4250,601485,0.00519,0.0237,0.00581,0.081,0.00334,0.0339,0.0256,,0.00466,0.0125,0.0146,0.0128,0.00298,0.00324,0.0191,0.0
1197,943,12452298752.0,4072,13731,14990,16728,1365,405860,23399.0,6345.0,1220,91980,11769,3851,4250,599562,0.00519,0.0244,0.00597,0.081,0.00365,0.035,0.0271,,0.00464,0.0125,0.0165,0.0128,0.00298,0.00324,0.0196,0.0
1187,943,12450951168.0,4072,13731,14954,17324,1365,405860,23067.0,6422.0,1220,87122,11769,3851,4250,595009,0.00519,0.0244,0.00601,0.088,0.00365,0.0412,0.0274,,0.00457,0.0125,0.0165,0.0144,0.00302,0.00324,0.0208,0.0
1172,922,12450488320.0,4072,13731,14954,17411,1365,405860,22736.0,6500.0,1220,87122,11769,3635,4250,594626,0.00519,0.0244,0.0067,0.088,0.00365,0.0412,0.0278,,0.00451,0.0125,0.0165,0.0149,0.00302,0.00324,0.021,0.0
1157,907,12448063488.0,4072,13731,14052,17411,1365,405860,22405.0,6577.0,1220,87122,11769,3635,4250,593470,0.00519,0.0244,0.0067,0.088,0.00365,0.0412,0.0281,,0.00444,0.0125,0.0165,0.0149,0.00302,0.00335,0.021,0.0
1157,907,12445380608.0,3780,13722,14052,17411,1289,405860,22073.0,6654.0,1220,87122,11137,3527,4028,591875,0.00519,0.0244,0.0067,0.088,0.00365,0.0412,0.0285,,0.00438,0.0125,0.0165,0.0149,0.0031,0.00335,0.021,0.0
1169,907,12441657344.0,3780,13126,14052,17411,1289,405860,21742.0,6731.0,1220,87122,11137,3503,4028,591000,0.00519,0.0235,0.0067,0.088,0.00373,0.0412,0.0288,,0.00431,0.0134,0.0178,0.0149,0.0031,0.00324,0.0212,0.0
835,907,12442636288.0,3780,13126,14052,17411,1289,374879,21298.0,6808.0,1220,87083,11137,3616,4058,559757,0.00518,0.0273,0.0067,0.088,0.00373,0.0412,0.0292,,0.00436,0.014,0.0178,0.0149,0.0031,0.00322,0.0216,0.0
835,907,12440350720.0,3818,13126,14158,17411,1288,374879,20969.0,6885.0,1141,87083,11137,3616,4058,559569,0.00598,0.0273,0.00731,0.0927,0.00393,0.0412,0.0295,,0.00459,0.014,0.0178,0.0165,0.00305,0.00386,0.0223,0.0
