"Time","adservice-66cdf5d799-5lhlj","adservice-6b4979fd86-tnxvz","cartservice-594d56988-9w8kn","cartservice-88fdf8db5-2wr56","checkoutservice-678cdcb74b-xcwsn","checkoutservice-77bcb7ccc7-f46zn","currencyservice-65f5c47df6-rp4vg","currencyservice-84f9ccd67-rjh2b","emailservice-57d8c6575f-q74jx","emailservice-f56d9cccb-zbwv5","frontend-544d59f594-bp5hp","frontend-6b49fbfbff-4b47z","loadgenerator-64d987f766-wkpjd","loadgenerator-7c6fb64488-2t28g","loadgenerator-7c6fb64488-9r298","paymentservice-584488cb95-kxs6t","paymentservice-dc6c9d6c6-87r24","productcatalogservice-5f999d9577-m9flc","productcatalogservice-68f4dbd84b-7jjgx","recommendationservice-564896d75f-4djl7","recommendationservice-6d849b6d76-z796t","redis-cart-7fc544db85-mk6rh","redis-cart-855b76d469-trkq5","shippingservice-5cb69d4cbd-bmprb","shippingservice-79d4cfc86c-8h4z5"
2024-05-31 12:05:10,1627,25.8,3700,38.5,2535,,8374,17.1,490,28.8,15.6,102623,685,242,8193,21.3,358,23142,19.6,76.3,2930,,931,1197,34.3
2024-05-31 12:05:15,1656,23.4,4375,39.0,3204,,8520,14.2,499,23.2,13.6,120481,647,242,9212,24.4,365,22537,17.2,58.0,3264,,1174,1221,30.5
2024-05-31 12:05:20,1890,14.2,4450,33.8,3259,,8667,,540,,11.6,122610,609,242,9455,21.3,371,28134,9.71,64.8,3327,,1195,1360,31.2
2024-05-31 12:05:25,1924,12.6,4845,28.5,3324,,9463,,550,,,124739,572,242,9699,18.3,378,28652,11.0,59.1,3391,,1215,1386,26.9
2024-05-31 12:05:30,1958,10.9,4930,,3954,,9627,,559,,,139540,534,242,10522,,427,31938,8.77,53.4,3742,,1358,1412,22.6
2024-05-31 12:05:35,2181,9.29,5381,,4023,,10535,,589,,,142010,497,242,10779,,434,32505,,49.1,3811,,1382,1438,
2024-05-31 12:05:40,2204,,5473,,4091,,10718,,603,,,144461,468,242,11037,,464,33073,,43.3,3880,,1406,1612,
2024-05-31 12:05:45,2259,,5575,,4170,,10900,,626,,,146911,430,242,11295,,472,36941,,44.3,4347,,1586,1641,
2024-05-31 12:05:50,2516,,5489,,4685,,11655,,626,,,171472,391,242,12347,,481,37601,,37.7,4423,,1621,1774,
2024-05-31 12:05:55,2565,,6420,,4758,,11859,,644,,,174458,256,242,12622,,471,40885,,,4499,,1645,1804,
2024-05-31 12:06:00,2774,,6534,,4855,,12063,,644,,,177444,294,242,13419,,532,41581,,,4847,,1814,1837,
2024-05-31 12:06:05,2795,,6645,,5336,,12970,,666,,,181035,256,242,13706,,541,42340,,,4932,,1845,1869,
2024-05-31 12:06:10,2876,,7335,,5423,,13226,,688,,,202535,219,242,13992,,572,45550,,,5016,,1989,2021,
2024-05-31 12:06:15,3138,,7461,,5526,,13457,,688,,,206024,192,242,13632,,584,46393,,,5496,,2024,2059,
2024-05-31 12:06:20,3191,,7595,,6051,,14355,,719,,,219604,153,242,15500,,594,49469,,,5590,,2059,2094,
2024-05-31 12:06:25,3200,,8111,,6160,,14616,,719,,,223513,,242,15805,,622,50323,,,5694,,2094,2245,
2024-05-31 12:06:30,3561,,8259,,6452,,15200,,739,,,237224,,239,16644,,622,51177,,,5618,,2274,2285,
2024-05-31 12:06:35,3622,,8404,,6562,,15462,,754,,,241302,,231,16959,,644,54918,,,6253,,2314,2424,
2024-05-31 12:06:40,3680,,8550,,6685,,15721,,779,,,245763,,195,17274,,644,55856,,,6366,,2461,2435,
2024-05-31 12:06:45,3754,,9241,,6800,,15513,,794,,,266325,,158,18563,,708,56901,,,6475,,2484,2509,
2024-05-31 12:06:50,4103,,9417,,7342,,16889,,794,,,270862,,,18896,,708,55707,,,6975,,2550,2435,
2024-05-31 12:06:55,4147,,9583,,7477,,17201,,828,,,275935,,,19228,,723,63324,,,7110,,2746,2753,
2024-05-31 12:07:00,4252,,10278,,7606,,17830,,828,,,272223,,,19561,,763,64417,,,7234,,2793,2761,
2024-05-31 12:07:05,4489,,10453,,8069,,18133,,828,,,305148,,,20906,,763,67611,,,7625,,2844,2954,
2024-05-31 12:07:10,4566,,10663,,8216,,18782,,879,,,310517,,,21282,,780,68831,,,7763,,3005,3004,
2024-05-31 12:07:15,4764,,11397,,8358,,19112,,879,,,315809,,,21649,,794,70014,,,7897,,3015,3026,
2024-05-31 12:07:20,4900,,11594,,8972,,19442,,879,,,335031,,,21322,,823,74261,,,8449,,3115,3196,
2024-05-31 12:07:25,4983,,11791,,9135,,20179,,934,,,340834,,,23488,,791,75543,,,8596,,3045,3247,
2024-05-31 12:07:30,5079,,12024,,9293,,20541,,934,,,346638,,,23888,,854,76824,,,8743,,3397,3247,
2024-05-31 12:07:35,5381,,12771,,9128,,21214,,934,,,369440,,,24335,,890,81508,,,9053,,3467,3480,
2024-05-31 12:07:40,5458,,12989,,9969,,21584,,952,,,375807,,,25358,,899,82909,,,9293,,3520,3537,
2024-05-31 12:07:45,5573,,13232,,10141,,21950,,988,,,382035,,,25744,,899,84054,,,9452,,3709,3537,
2024-05-31 12:07:50,5494,,13041,,10314,,21587,,988,,,399138,,,26312,,959,89010,,,9197,,3773,3755,
2024-05-31 12:07:55,5890,,14164,,9971,,23046,,952,,,403446,,,27246,,959,90147,,,10179,,3891,3762,
2024-05-31 12:08:00,5890,,14216,,11115,,23046,,1022,,,413475,,,27434,,959,92123,,,10217,,3891,3838,
2024-05-31 12:08:05,6118,,14660,,11165,,23173,,1022,,,433121,,,28094,,989,95513,,,10449,,4052,3988,
2024-05-31 12:08:10,6234,,15027,,11281,,24039,,1045,,,435909,,,28094,,1019,95513,,,10781,,3928,3988,
2024-05-31 12:08:15,6234,,15027,,12109,,24039,,1072,,,448381,,,28953,,1019,100809,,,10968,,4216,4083,
2024-05-31 12:08:20,6564,,15712,,12117,,23979,,1072,,,437891,,,29529,,1032,100809,,,11333,,4373,4225,
2024-05-31 12:08:25,6564,,15712,,12283,,24971,,1093,,,468635,,,29529,,1060,102406,,,11333,,4454,4225,
2024-05-31 12:08:30,6564,,15712,,12621,,24971,,1109,,,478584,,,30985,,1060,106361,,,11639,,4454,4084,
2024-05-31 12:08:35,6905,,16235,,12621,,25259,,1109,,,478584,,,30985,,1025,106361,,,11981,,4454,4490,
2024-05-31 12:08:40,6905,,16647,,13184,,25649,,1130,,,506022,,,30985,,1122,102924,,,11981,,4494,4490,
2024-05-31 12:08:45,6905,,16647,,13676,,25649,,1095,,,506022,,,30471,,1122,109916,,,12279,,4789,4490,
2024-05-31 12:08:50,7062,,17043,,13676,,24878,,1170,,,506022,,,32362,,1122,113785,,,12623,,4789,4588,
2024-05-31 12:08:55,7175,,16392,,14015,,26203,,1154,,,533215,,,32135,,1176,115428,,,12783,,4789,4693,
2024-05-31 12:09:00,7175,,17392,,14015,,26203,,1201,,,533215,,,33767,,1176,115428,,,12783,,5034,4693,
2024-05-31 12:09:05,7296,,18020,,14607,,26602,,1160,,,533215,,,33767,,1169,117972,,,13131,,5034,4884,
2024-05-31 12:09:10,7387,,18020,,14607,,26811,,1218,,,544884,,,33767,,1216,119421,,,13131,,5034,4884,
2024-05-31 12:09:15,7566,,18212,,14607,,26811,,1242,,,553777,,,34740,,1216,122009,,,13309,,5185,4884,
2024-05-31 12:09:20,7566,,18608,,13948,,27005,,1242,,,553777,,,34740,,1228,122009,,,13539,,5185,5075,
2024-05-31 12:09:25,7566,,18734,,15357,,27005,,1258,,,570778,,,34740,,1253,123049,,,13632,,5347,5075,
2024-05-31 12:09:30,7823,,18734,,15357,,27454,,1258,,,576633,,,35280,,1253,125020,,,13632,,5347,5075,
2024-05-31 12:09:35,7823,,18986,,15483,,27454,,1282,,,576633,,,35635,,1266,125020,,,13861,,5347,4899,
2024-05-31 12:09:40,7823,,19168,,15750,,27454,,1287,,,584665,,,36425,,1282,126399,,,13861,,5499,5189,
2024-05-31 12:09:45,8030,,19424,,15750,,27835,,1287,,,596463,,,36728,,1282,128778,,,14013,,5499,5189,
2024-05-31 12:09:50,8030,,19424,,15251,,27835,,1301,,,596463,,,36728,,1295,128778,,,14267,,5499,5110,
2024-05-31 12:09:55,8030,,19884,,16415,,27983,,1321,,,600479,,,36116,,1317,124526,,,14267,,5414,5339,
2024-05-31 12:10:00,8260,,19884,,16415,,27007,,1293,,,612859,,,37735,,1327,132787,,,14407,,5685,5339,
2024-05-31 12:10:05,8260,,19884,,16415,,28216,,1338,,,616393,,,37735,,1327,132787,,,14605,,5685,5339,
2024-05-31 12:10:10,8260,,20025,,16521,,28408,,1341,,,616393,,,37735,,1342,133525,,,14605,,5685,5437,
2024-05-31 12:10:15,8317,,20258,,16779,,28408,,1341,,,632940,,,38636,,1346,133525,,,14841,,5843,5437,
2024-05-31 12:10:20,8435,,20258,,16779,,28641,,1357,,,632940,,,38636,,1346,135785,,,15005,,5843,5333,
2024-05-31 12:10:25,8435,,20611,,16131,,28782,,1357,,,632940,,,38636,,1346,136548,,,15005,,5843,5369,
2024-05-31 12:10:30,8497,,20611,,17305,,28917,,1365,,,599258,,,39386,,1363,138141,,,15211,,5945,5565,
2024-05-31 12:10:35,8598,,20917,,17305,,29056,,1376,,,649436,,,39386,,1363,138141,,,15211,,5975,5565,
2024-05-31 12:10:40,8598,,21030,,17305,,29056,,1376,,,649436,,,39386,,1347,138562,,,15236,,5975,5601,
