"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-06-12 11:20:28,1426
2024-06-12 11:20:30,1471
2024-06-12 11:20:32,1452
2024-06-12 11:20:34,1446
2024-06-12 11:20:36,1438
2024-06-12 11:20:38,1428
2024-06-12 11:20:40,1419
2024-06-12 11:20:42,1419
2024-06-12 11:20:44,1438
2024-06-12 11:20:46,1459
2024-06-12 11:20:48,1459
2024-06-12 11:20:50,1452
2024-06-12 11:20:52,1434
2024-06-12 11:20:54,1424
2024-06-12 11:20:56,1437
2024-06-12 11:20:58,1420
2024-06-12 11:21:00,1431
2024-06-12 11:21:02,1440
2024-06-12 11:21:04,1447
2024-06-12 11:21:06,1453
2024-06-12 11:21:08,1436
2024-06-12 11:21:10,1436
2024-06-12 11:21:12,1426
2024-06-12 11:21:14,1426
2024-06-12 11:21:16,1436
2024-06-12 11:21:18,1443
2024-06-12 11:21:20,1426
2024-06-12 11:21:22,1446
2024-06-12 11:21:24,1436
2024-06-12 11:21:26,1420
2024-06-12 11:21:28,1429
2024-06-12 11:21:30,1451
2024-06-12 11:21:32,1466
2024-06-12 11:21:34,1462
2024-06-12 11:21:36,1421
2024-06-12 11:21:38,1427
2024-06-12 11:21:40,1435
2024-06-12 11:21:42,1419
2024-06-12 11:21:44,1418
2024-06-12 11:21:46,1430
2024-06-12 11:21:48,1443
2024-06-12 11:21:50,1449
2024-06-12 11:21:52,1433
2024-06-12 11:21:54,1426
2024-06-12 11:21:56,1440
2024-06-12 11:21:58,1440
2024-06-12 11:22:00,1451
2024-06-12 11:22:02,1451
2024-06-12 11:22:04,1435
2024-06-12 11:22:06,1420
2024-06-12 11:22:08,1420
2024-06-12 11:22:10,1415
2024-06-12 11:22:12,1441
2024-06-12 11:22:14,1450
2024-06-12 11:22:16,1450
2024-06-12 11:22:18,1441
2024-06-12 11:22:20,1441
2024-06-12 11:22:22,1440
2024-06-12 11:22:24,1440
2024-06-12 11:22:26,1430
2024-06-12 11:22:28,1412
2024-06-12 11:22:30,1224
2024-06-12 11:22:32,1235
2024-06-12 11:22:34,1239
2024-06-12 11:22:36,1236
2024-06-12 11:22:38,1236
2024-06-12 11:22:40,1228
2024-06-12 11:22:42,1230
2024-06-12 11:22:44,1024
2024-06-12 11:22:46,1026
2024-06-12 11:22:48,1024
2024-06-12 11:22:50,1025
2024-06-12 11:22:52,1022
2024-06-12 11:22:54,1037
2024-06-12 11:22:56,1054
2024-06-12 11:22:58,1050
2024-06-12 11:23:00,1034
2024-06-12 11:23:02,1025
2024-06-12 11:23:04,1025
2024-06-12 11:23:06,1014
2024-06-12 11:23:08,1036
2024-06-12 11:23:10,1048
2024-06-12 11:23:12,1042
2024-06-12 11:23:14,1044
2024-06-12 11:23:16,1052
2024-06-12 11:23:18,1039
2024-06-12 11:23:20,1039
2024-06-12 11:23:22,1039
2024-06-12 11:23:24,1032
2024-06-12 11:23:26,1027
2024-06-12 11:23:28,1012
2024-06-12 11:23:30,1023
2024-06-12 11:23:32,1032
2024-06-12 11:23:34,1032
2024-06-12 11:23:36,1023
2024-06-12 11:23:38,725
2024-06-12 11:23:40,725
2024-06-12 11:23:42,436
2024-06-12 11:23:44,435
2024-06-12 11:23:46,435
2024-06-12 11:23:48,435
2024-06-12 11:23:50,425
2024-06-12 11:23:52,425
2024-06-12 11:23:54,418
2024-06-12 11:23:56,424
2024-06-12 11:23:58,425
2024-06-12 11:24:00,430
2024-06-12 11:24:02,431
2024-06-12 11:24:04,438
2024-06-12 11:24:06,438
2024-06-12 11:24:08,438
2024-06-12 11:24:10,426
2024-06-12 11:24:12,426
2024-06-12 11:24:14,432
2024-06-12 11:24:16,427
2024-06-12 11:24:18,433
2024-06-12 11:24:20,436
2024-06-12 11:24:22,436
2024-06-12 11:24:24,425
2024-06-12 11:24:26,425
2024-06-12 11:24:28,425
2024-06-12 11:24:30,425
2024-06-12 11:24:32,438
2024-06-12 11:24:34,444
2024-06-12 11:24:36,445
2024-06-12 11:24:38,437
2024-06-12 11:24:40,428
2024-06-12 11:24:42,422
2024-06-12 11:24:44,422
2024-06-12 11:24:46,422
2024-06-12 11:24:48,212
2024-06-12 11:24:50,212
2024-06-12 11:24:52,0
2024-06-12 11:24:54,0
2024-06-12 11:24:56,0
2024-06-12 11:24:58,0
2024-06-12 11:25:00,0
2024-06-12 11:25:02,0
2024-06-12 11:25:04,0
2024-06-12 11:25:06,0
2024-06-12 11:25:08,0
2024-06-12 11:25:10,0
2024-06-12 11:25:12,0
2024-06-12 11:25:14,0
2024-06-12 11:25:16,0
2024-06-12 11:25:18,0
2024-06-12 11:25:20,0
2024-06-12 11:25:22,0
2024-06-12 11:25:24,0
2024-06-12 11:25:26,0
2024-06-12 11:25:28,0
2024-06-12 11:25:30,0
2024-06-12 11:25:32,0
2024-06-12 11:25:34,0
2024-06-12 11:25:36,0
2024-06-12 11:25:38,0
2024-06-12 11:25:40,0
2024-06-12 11:25:42,0
2024-06-12 11:25:44,0
2024-06-12 11:25:46,0
2024-06-12 11:25:48,0
2024-06-12 11:25:50,0
2024-06-12 11:25:52,0
2024-06-12 11:25:54,0
2024-06-12 11:25:56,0
2024-06-12 11:25:58,0
2024-06-12 11:26:00,0
2024-06-12 11:26:02,0
2024-06-12 11:26:04,0
2024-06-12 11:26:06,0
2024-06-12 11:26:08,0
2024-06-12 11:26:10,0
2024-06-12 11:26:12,0
2024-06-12 11:26:14,0
2024-06-12 11:26:16,0
2024-06-12 11:26:18,0
2024-06-12 11:26:20,0
2024-06-12 11:26:22,0
2024-06-12 11:26:24,0
2024-06-12 11:26:26,0
2024-06-12 11:26:28,0
2024-06-12 11:26:30,0
2024-06-12 11:26:32,0
2024-06-12 11:26:34,0
2024-06-12 11:26:36,0
2024-06-12 11:26:38,0
2024-06-12 11:26:40,0
2024-06-12 11:26:42,0
2024-06-12 11:26:44,0
2024-06-12 11:26:46,0
2024-06-12 11:26:48,142
2024-06-12 11:26:50,142
2024-06-12 11:26:52,142
2024-06-12 11:26:54,142
2024-06-12 11:26:56,288
2024-06-12 11:26:58,288
2024-06-12 11:27:00,296
2024-06-12 11:27:02,296
2024-06-12 11:27:04,296
2024-06-12 11:27:06,291
2024-06-12 11:27:08,286
2024-06-12 11:27:10,286
2024-06-12 11:27:12,286
2024-06-12 11:27:14,281
2024-06-12 11:27:16,291
2024-06-12 11:27:18,296
2024-06-12 11:27:20,296
2024-06-12 11:27:22,296
2024-06-12 11:27:24,291
2024-06-12 11:27:26,286
2024-06-12 11:27:28,286
2024-06-12 11:27:30,286
2024-06-12 11:27:32,278
2024-06-12 11:27:34,295
2024-06-12 11:27:36,295
2024-06-12 11:27:38,288
2024-06-12 11:27:40,288
2024-06-12 11:27:42,288
2024-06-12 11:27:44,282
2024-06-12 11:27:46,282
2024-06-12 11:27:48,282
2024-06-12 11:27:50,291
2024-06-12 11:27:52,299
2024-06-12 11:27:54,299
2024-06-12 11:27:56,290
2024-06-12 11:27:58,290
2024-06-12 11:28:00,290
2024-06-12 11:28:02,282
2024-06-12 11:28:04,282
2024-06-12 11:28:06,282
2024-06-12 11:28:08,298
2024-06-12 11:28:10,298
2024-06-12 11:28:12,298
2024-06-12 11:28:14,289
2024-06-12 11:28:16,282
2024-06-12 11:28:18,282
2024-06-12 11:28:20,282
2024-06-12 11:28:22,282
2024-06-12 11:28:24,293
2024-06-12 11:28:26,293
2024-06-12 11:28:28,293
2024-06-12 11:28:30,284
2024-06-12 11:28:32,284
2024-06-12 11:28:34,284
2024-06-12 11:28:36,292
2024-06-12 11:28:38,292
2024-06-12 11:28:40,292
2024-06-12 11:28:42,292
2024-06-12 11:28:44,296
2024-06-12 11:28:46,291
2024-06-12 11:28:48,286
2024-06-12 11:28:50,281
2024-06-12 11:28:52,289
2024-06-12 11:28:54,289
2024-06-12 11:28:56,289
2024-06-12 11:28:58,289
2024-06-12 11:29:00,286
2024-06-12 11:29:02,291
2024-06-12 11:29:04,291
2024-06-12 11:29:06,284
2024-06-12 11:29:08,291
2024-06-12 11:29:10,291
2024-06-12 11:29:12,291
2024-06-12 11:29:14,291
2024-06-12 11:29:16,283
2024-06-12 11:29:18,277
2024-06-12 11:29:20,282
2024-06-12 11:29:22,290
2024-06-12 11:29:24,290
2024-06-12 11:29:26,290
2024-06-12 11:29:28,290
2024-06-12 11:29:30,298
2024-06-12 11:29:32,298
2024-06-12 11:29:34,284
2024-06-12 11:29:36,280
2024-06-12 11:29:38,284
2024-06-12 11:29:40,285
2024-06-12 11:29:42,290
2024-06-12 11:29:44,290
2024-06-12 11:29:46,298
2024-06-12 11:29:48,292
2024-06-12 11:29:50,283
2024-06-12 11:29:52,283
2024-06-12 11:29:54,283
2024-06-12 11:29:56,283
2024-06-12 11:29:58,289
2024-06-12 11:30:00,289
2024-06-12 11:30:02,292
2024-06-12 11:30:04,287
2024-06-12 11:30:06,283
2024-06-12 11:30:08,283
2024-06-12 11:30:10,287
2024-06-12 11:30:12,292
2024-06-12 11:30:14,286
2024-06-12 11:30:16,286
2024-06-12 11:30:18,288
2024-06-12 11:30:20,288
2024-06-12 11:30:22,288
2024-06-12 11:30:24,288
2024-06-12 11:30:26,288
2024-06-12 11:30:28,288
2024-06-12 11:30:30,280
2024-06-12 11:30:32,280
2024-06-12 11:30:34,286
2024-06-12 11:30:36,286
2024-06-12 11:30:38,286
2024-06-12 11:30:40,286
2024-06-12 11:30:42,295
2024-06-12 11:30:44,288
2024-06-12 11:30:46,293
2024-06-12 11:30:48,288
2024-06-12 11:30:50,288
2024-06-12 11:30:52,288
2024-06-12 11:30:54,288
2024-06-12 11:30:56,282
2024-06-12 11:30:58,290
2024-06-12 11:31:00,285
2024-06-12 11:31:02,285
2024-06-12 11:31:04,285
2024-06-12 11:31:06,284
2024-06-12 11:31:08,289
2024-06-12 11:31:10,283
2024-06-12 11:31:12,283
2024-06-12 11:31:14,288
2024-06-12 11:31:16,283
2024-06-12 11:31:18,283
2024-06-12 11:31:20,283
2024-06-12 11:31:22,278
2024-06-12 11:31:24,290
2024-06-12 11:31:26,290
2024-06-12 11:31:28,290
2024-06-12 11:31:30,290
2024-06-12 11:31:32,290
2024-06-12 11:31:34,145
2024-06-12 11:31:36,145
2024-06-12 11:31:38,137
2024-06-12 11:31:40,0
2024-06-12 11:31:42,0
2024-06-12 11:31:44,0
2024-06-12 11:31:46,0
2024-06-12 11:31:48,0
2024-06-12 11:31:50,0
2024-06-12 11:31:52,0
2024-06-12 11:31:54,0
2024-06-12 11:31:56,0
2024-06-12 11:31:58,0
2024-06-12 11:32:00,0
2024-06-12 11:32:02,0
2024-06-12 11:32:04,0
2024-06-12 11:32:06,0
2024-06-12 11:32:08,0
2024-06-12 11:32:10,0
2024-06-12 11:32:12,0
2024-06-12 11:32:14,0
2024-06-12 11:32:16,0
2024-06-12 11:32:18,0
2024-06-12 11:32:20,0
2024-06-12 11:32:22,0
2024-06-12 11:32:24,0
2024-06-12 11:32:26,0
2024-06-12 11:32:28,0
2024-06-12 11:32:30,0
2024-06-12 11:32:32,0
2024-06-12 11:32:34,0
2024-06-12 11:32:36,0
2024-06-12 11:32:38,0
2024-06-12 11:32:40,0
2024-06-12 11:32:42,0
2024-06-12 11:32:44,0
2024-06-12 11:32:46,0
2024-06-12 11:32:48,0
2024-06-12 11:32:50,0
2024-06-12 11:32:52,0
2024-06-12 11:32:54,0
2024-06-12 11:32:56,0
2024-06-12 11:32:58,0
2024-06-12 11:33:00,0
2024-06-12 11:33:02,0
2024-06-12 11:33:04,0
2024-06-12 11:33:06,0
2024-06-12 11:33:08,0
2024-06-12 11:33:10,0
