i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_pod-pod-14,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_pod-pod-14,cpu_system,pod_restart
0,513,12422922240,4325,13632,14355,20720,1201,345890,23072.0,,,1211,84141,10838,3402,4396,527183,0.0147,0.0792,0.0215,0.188,0.00804,0.131,0.0927,,,0.0406,0.0538,0.0498,0.00493,0.0113,0.058,0
0,506,12419149824,4325,13632,14355,20720,1244,345890,23072.0,,,1276,84141,10913,3402,4458,527428,0.0147,0.0792,0.0222,0.188,0.00804,0.131,0.0927,,,0.0406,0.0538,0.0498,0.00513,0.0117,0.0581,0
0,535,12419645440,4325,13632,14355,20720,1244,345890,23440.0,,,1276,84141,11279,3402,4458,528162,0.0147,0.0792,0.0222,0.188,0.00804,0.131,0.0927,,,0.0422,0.0559,0.0498,0.00526,0.0117,0.0584,0
0,525,12418129920,4325,13632,14355,21432,1244,346068,23598.0,,,1276,84141,11279,3525,4458,529333,0.0147,0.0792,0.0222,0.189,0.00812,0.131,0.0927,,,0.0422,0.0559,0.0503,0.00526,0.0117,0.0585,0
0,524,12417650688,4548,13632,15075,21432,1245,343692,23637.0,,,1295,85030,11279,3525,4458,528848,0.0147,0.0802,0.0215,0.189,0.00812,0.132,0.0927,,,0.0422,0.0567,0.0503,0.00526,0.0117,0.0587,0
0,516,12418101248,4628,13632,15075,20797,1245,364199,23637.0,,,1338,88874,11279,3570,4458,552733,0.0143,0.0821,0.0213,0.189,0.00812,0.132,0.0927,,,0.0427,0.0567,0.051,0.00526,0.0118,0.0589,0
0,516,12421464064,4628,13632,15075,20654,1245,364199,23649.0,,,1338,88874,11279,3570,4620,552764,0.0155,0.0848,0.0227,0.187,0.00815,0.137,0.0927,,,0.0427,0.0567,0.0528,0.00526,0.0118,0.0598,0
0,516,12426215424,4628,13632,14534,21680,1245,364199,23649.0,,,1338,88874,11408,3570,4620,553377,0.0155,0.0848,0.023,0.194,0.00821,0.137,0.0898,,,0.0427,0.0567,0.0528,0.00526,0.0118,0.0601,0
0,516,12424151040,4628,13590,15283,21680,1245,374576,24374.0,,,1338,88874,11408,3570,4620,565186,0.0155,0.0848,0.0232,0.194,0.00847,0.137,0.0967,,,0.0427,0.0567,0.0528,0.00526,0.0118,0.0607,0
0,515,12420489216,4628,14272,15283,21680,1273,374576,24374.0,,,1351,88874,11408,3714,4472,565905,0.0155,0.0848,0.0239,0.194,0.00847,0.137,0.0967,,,0.043,0.058,0.0532,0.0054,0.0118,0.061,0
0,515,12415012864,4628,14272,15283,22425,1273,374576,24374.0,,,1351,88874,11796,3714,4698,567264,0.0155,0.0848,0.0239,0.194,0.00847,0.137,0.0967,,,0.0433,0.058,0.0532,0.0054,0.0122,0.061,0
0,515,12421840896,4628,14272,15283,22425,1287,374576,24374.0,,,1351,90211,11796,3714,4698,568615,0.0155,0.0848,0.0239,0.194,0.0082,0.139,0.0967,,,0.0436,0.058,0.0532,0.0054,0.0123,0.0612,0
0,515,12410093568,4658,14272,15283,22425,1287,374576,24374.0,,,1351,90211,11796,3714,4827,568774,0.0155,0.0848,0.0239,0.194,0.00859,0.139,0.0967,,,0.0449,0.0589,0.0532,0.0054,0.0123,0.0614,0
0,515,12410441728,4703,14272,15825,22425,1287,390394,24374.0,,,1360,90211,11796,3770,4827,585245,0.0155,0.0867,0.0242,0.194,0.00859,0.139,0.0996,,,0.0453,0.0589,0.0532,0.0054,0.0123,0.0619,0
0,515,12406026240,4877,14787,16073,22425,1282,390394,24416.0,,,1406,93059,11796,3770,4827,589111,0.0163,0.0895,0.0242,0.194,0.00859,0.142,0.0996,,,0.0453,0.0605,0.0549,0.0054,0.0123,0.0627,0
0,515,12406984704,4877,14787,16073,21752,1325,390394,24416.0,,,1426,93059,12018,3770,4827,588723,0.0163,0.0895,0.0242,0.194,0.00859,0.142,0.0996,,,0.0453,0.0605,0.0557,0.0054,0.0123,0.0628,0
0,524,12490969088,4877,14787,16073,21603,1325,390394,24857.0,,,1426,93059,12018,3770,4894,589081,0.0163,0.0895,0.0248,0.197,0.00885,0.142,0.101,,,0.0453,0.0605,0.0557,0.0054,0.0124,0.0632,0
0,532,12494192640,4877,15042,16073,22751,1325,390394,24857.0,,,1426,93059,12367,3872,4894,590937,0.0163,0.0895,0.0248,0.197,0.00885,0.142,0.101,,,0.0453,0.0605,0.0557,0.0054,0.0128,0.0632,0
0,517,12504383488,4877,15042,16073,23239,1325,390394,24857.0,,,1426,94074,12367,3872,5015,592562,0.0163,0.0895,0.0248,0.197,0.00883,0.144,0.101,,,0.0453,0.061,0.0557,0.00556,0.0128,0.0634,0
0,517,12503670784,4877,15042,16146,23239,1286,405123,24857.0,,,1426,94074,12367,3872,5015,607325,0.0163,0.0904,0.0247,0.197,0.00883,0.144,0.101,,,0.0465,0.061,0.0557,0.00556,0.0128,0.0636,0
