Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,cart_i_o_read,cart_i_o_write,cart_memory,network_outgoing_pod_adservice,network_outgoing_pod_cartservice,network_outgoing_pod_checkoutservice,network_outgoing_pod_currencyservice,network_outgoing_pod_emailservice,network_outgoing_pod_frontend,network_outgoing_pod_loadgenerator,network_outgoing_pod_paymentservice,network_outgoing_pod_productcatalogservice,network_outgoing_pod_recommendationservice,network_outgoing_pod_redis,network_outgoing_pod_shippingservice,network_outgoing_system,cpu_pod_adservice,cpu_pod_cartservice,cpu_pod_checkoutservice,cpu_pod_currencyservice,cpu_pod_emailservice,cpu_pod_frontend,cpu_pod_loadgenerator,cpu_pod_paymentservice,cpu_pod_productcatalogservice,cpu_pod_recommendationservice,cpu_pod_redis,cpu_pod_shippingservice,cpu_system,"cart_pod_restart_{container=""main"", instance=""kube","cart_pod_restart_{container=""main"", instance=""kube.2","cart_pod_restart_{container=""redis"", instance=""kube","cart_pod_restart_{container=""server"", instance=""kube","cart_pod_restart_{container=""server"", instance=""kube.2","cart_pod_restart_{container=""server"", instance=""kube.3","cart_pod_restart_{container=""server"", instance=""kube.4","cart_pod_restart_{container=""server"", instance=""kube.5","cart_pod_restart_{container=""server"", instance=""kube.6","cart_pod_restart_{container=""server"", instance=""kube.7","cart_pod_restart_{container=""server"", instance=""kube.8","cart_pod_restart_{container=""server"", instance=""kube.9"
128,61,214.63934426229508,8665,0,12558995456,813,3366,,,349,,489.0,,18043,2708,,,101927,0.0205,0.03,,,0.00179,,0.00581,,0.0127,0.0135,,,0.0171,0.0,0.0,,0,0,,,0,,0,0,
130,53,273.49056603773585,8610,0,12560265216,813,3389,,,359,,489.0,,18166,2726,,,100303,0.0205,0.03,,,0.00179,,0.00581,,0.0124,0.0135,,,0.0171,0.0,0.0,,0,0,,,0,,0,0,
132,52,207.8846153846154,8556,0,12561928192,813,3412,,,359,,492.0,,18289,2744,,,127154,0.0212,0.03,,,0.00179,,0.00581,,0.0162,0.0135,,,0.0178,0.0,0.0,,0,0,,,0,,0,0,
134,65,297.5846153846154,8421,0,12525023232,813,3435,,,366,,492.0,,18412,2749,,,128082,0.0212,0.03,,,0.00182,,0.00581,,0.0163,0.0141,,,0.0183,0.0,0.0,,0,0,,,0,,0,0,
136,61,274.1475409836066,8253,0,12525654016,845,3437,,,366,,492.0,,22918,2749,,,133542,0.0205,0.03,,,0.00182,,0.00578,,0.0164,0.0141,,,0.0193,0.0,0.0,,0,0,,,0,,0,0,
138,61,244.0,3853,0,12524732416,845,3487,,,366,,492.0,,23078,3256,,,134861,0.0204,0.03,,,0.00176,,0.00123,,0.0165,0.0141,,,0.019,0.0,,,0,0,,,0,,0,0,
140,46,505.7826086956522,4012,0,12524277760,968,4181,,,366,,492.0,,23239,3279,,,137808,0.024,0.03,,,0.0019,,0.00121,,0.0166,0.0166,,,0.0197,0.0,,,0,0,,,0,,0,0,
142,67,652.4179104477612,4013,0,12521472000,968,4210,,,368,,492.0,,23399,3301,,,138752,0.024,0.03,,,0.0019,,0.0012,,0.0194,0.0166,,,0.02,0.0,,,0,0,,,0,,0,0,
144,35,805.3142857142857,4013,0,12529733632,968,4239,,,368,,492.0,,23560,3323,,,140139,0.024,0.0297,,,0.0019,,0.00118,,0.0194,0.0166,,,0.02,0.0,,,0,0,,,0,,0,0,
146,90,540.7666666666667,4012,0,12532264960,968,4267,,,368,,495.0,,23720,3323,,,141124,0.0251,0.0295,,,0.0019,,0.00117,,0.0197,0.0166,,,0.0202,0.0,,,0,0,,,0,,0,0,
