i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod_restart
0.0,145.0,12627361792.0,454.0,1316.0,1150.0,2375.0,388.0,24061.0,4137.0,3036.0,235.0,6828.0,1219.0,313.0,506.0,46018.0,0.00331,0.0113,0.00163,0.0384,0.00201,0.011,0.00367,0.0131,0.00379,0.00462,0.00457,0.00235,0.0012,0.00841,0.0
0.0,147.0,12624994304.0,454.0,1316.0,1150.0,2375.0,388.0,29737.0,4095.0,3285.0,235.0,6828.0,1219.0,313.0,603.0,51998.0,0.00331,0.0113,0.00157,0.0397,0.00203,0.011,0.00364,0.0134,0.00437,0.00462,0.00444,0.00243,0.0012,0.00858,0.0
0.0,147.0,12625825792.0,454.0,1316.0,1150.0,2375.0,388.0,29737.0,4053.0,3349.0,248.0,7211.0,1219.0,313.0,603.0,52416.0,0.00331,0.0113,0.00191,0.0397,0.00203,0.0136,0.0036,0.0137,0.00437,0.00557,0.00534,0.00243,0.0012,0.009,0.0
0.0,143.0,12630368256.0,511.0,1316.0,1150.0,2375.0,388.0,30551.0,4011.0,3413.0,248.0,7211.0,1219.0,313.0,603.0,53310.0,0.00331,0.0113,0.00193,0.0397,0.00203,0.0136,0.00356,0.014,0.00437,0.00557,0.00534,0.00249,0.00134,0.00904,0.0
0.0,143.0,12632973312.0,511.0,1316.0,1174.0,2440.0,388.0,30763.0,3969.0,3477.0,248.0,7211.0,1219.0,381.0,623.0,53721.0,0.00331,0.0113,0.002,0.0397,0.00196,0.0136,0.00353,0.0142,0.00437,0.00557,0.00552,0.00249,0.00134,0.00907,0.0
0.0,143.0,12631375872.0,511.0,1316.0,1461.0,3078.0,409.0,31761.0,3928.0,3541.0,248.0,7211.0,1257.0,381.0,623.0,55726.0,0.00331,0.0137,0.002,0.0397,0.00214,0.0136,0.00349,0.0145,0.00437,0.00583,0.00552,0.00249,0.00136,0.00933,0.0
0.0,143.0,12646785024.0,511.0,1349.0,1510.0,3078.0,400.0,31761.0,3961.0,3606.0,255.0,8812.0,1257.0,381.0,623.0,57503.0,0.00328,0.0137,0.002,0.0445,0.00214,0.0141,0.00333,0.0148,0.00437,0.00583,0.00552,0.00249,0.00136,0.00978,0.0
0.0,140.0,12651077632.0,521.0,1620.0,1510.0,3078.0,414.0,31761.0,3918.0,3827.0,255.0,8812.0,1467.0,381.0,623.0,58187.0,0.00326,0.0137,0.002,0.0445,0.00214,0.0161,0.00347,0.015,0.0048,0.00583,0.00552,0.00249,0.00136,0.01,0.0
0.0,142.0,12647161856.0,539.0,1672.0,1510.0,3078.0,414.0,31761.0,3875.0,3894.0,266.0,8812.0,1467.0,394.0,623.0,58304.0,0.00402,0.0137,0.00211,0.0445,0.00216,0.0161,0.00344,0.0153,0.00484,0.00583,0.00552,0.00249,0.00136,0.0101,0.0
0.0,146.0,12654252032.0,539.0,1672.0,1510.0,3078.0,414.0,38650.0,3833.0,3961.0,266.0,8812.0,1467.0,394.0,604.0,65199.0,0.00402,0.0137,0.00211,0.0459,0.00216,0.0161,0.0034,0.0156,0.00498,0.00688,0.00535,0.00251,0.00136,0.0103,0.0
0.0,146.0,12654952448.0,539.0,1672.0,1510.0,3078.0,414.0,38650.0,3790.0,4028.0,266.0,9188.0,1510.0,394.0,700.0,65739.0,0.00402,0.0137,0.00211,0.0474,0.00216,0.0161,0.00336,0.0158,0.00498,0.00688,0.00537,0.00251,0.00141,0.0105,0.0
0.0,144.0,12659515392.0,539.0,1672.0,1616.0,3341.0,414.0,38650.0,3747.0,4095.0,266.0,9188.0,1510.0,394.0,722.0,66155.0,0.00402,0.0143,0.00211,0.0474,0.00216,0.0169,0.00333,0.0161,0.00498,0.00688,0.00652,0.00243,0.00161,0.0107,0.0
0.0,143.0,12653756416.0,614.0,1672.0,1616.0,3341.0,414.0,38650.0,3705.0,4162.0,266.0,9188.0,1510.0,458.0,722.0,66319.0,0.00402,0.0143,0.00215,0.0474,0.00216,0.0169,0.00329,0.0164,0.00498,0.00705,0.00671,0.00241,0.00161,0.0108,0.0
0.0,145.0,12655980544.0,614.0,1672.0,1616.0,3341.0,422.0,39828.0,3662.0,4287.0,281.0,9188.0,1510.0,458.0,722.0,67602.0,0.00412,0.0143,0.00224,0.0523,0.00209,0.0169,0.00325,0.0166,0.00498,0.0071,0.00671,0.0026,0.00161,0.0112,0.0
0.0,141.0,12687138816.0,614.0,1672.0,1693.0,3454.0,422.0,41035.0,3684.0,4355.0,281.0,10346.0,1510.0,475.0,722.0,70263.0,0.00593,0.0138,0.00224,0.0523,0.00223,0.0169,0.00322,0.0169,0.00498,0.00736,0.00671,0.0026,0.00161,0.0114,0.0
0.0,141.0,12690481152.0,614.0,1672.0,1693.0,3454.0,426.0,41035.0,3641.0,4423.0,281.0,10346.0,1690.0,475.0,722.0,70472.0,0.00593,0.016,0.00224,0.0523,0.00223,0.0169,0.00308,0.0172,0.00482,0.00736,0.00671,0.0026,0.00161,0.0116,0.0
0.0,144.0,12694151168.0,634.0,1965.0,1693.0,3454.0,426.0,45247.0,3597.0,4491.0,281.0,10954.0,1750.0,475.0,722.0,75689.0,0.00593,0.016,0.00216,0.0523,0.00219,0.0163,0.00322,0.0174,0.00621,0.00714,0.00671,0.00255,0.00171,0.0117,0.0
0.0,146.0,12683759616.0,634.0,1965.0,1951.0,3454.0,426.0,45247.0,3554.0,4559.0,281.0,10954.0,1750.0,475.0,742.0,75992.0,0.00593,0.016,0.00269,0.0523,0.0022,0.0193,0.00318,0.0177,0.00621,0.00709,0.00721,0.00264,0.00176,0.012,0.0
0.0,146.0,12683927552.0,670.0,1965.0,1951.0,3454.0,426.0,45247.0,3510.0,4627.0,281.0,10954.0,1750.0,475.0,816.0,76126.0,0.00593,0.0164,0.00269,0.0581,0.00227,0.0203,0.00315,0.018,0.00621,0.00831,0.00721,0.00264,0.00176,0.0127,0.0
0.0,146.0,12686352384.0,670.0,1965.0,1951.0,3522.0,426.0,45247.0,3467.0,4694.0,281.0,10954.0,1750.0,509.0,816.0,76252.0,0.00611,0.017,0.00269,0.0581,0.00227,0.0203,0.00311,0.018,0.00621,0.00831,0.0073,0.00264,0.00176,0.0128,0.0
0.0,143.0,12691410944.0,670.0,1965.0,1951.0,4128.0,426.0,45247.0,3423.0,4762.0,281.0,11923.0,1750.0,536.0,816.0,77879.0,0.00611,0.0176,0.00269,0.0581,0.00227,0.0203,0.00307,0.0183,0.00621,0.00831,0.00735,0.00267,0.00176,0.0129,0.0
