i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system
0,1477,13243662336,478,1457,1446,2746,394,40493,3560.0,3253,268,10101,1342,321.0,543,66401,0.00325,0.0103,0.00209,0.0372,0.00227,0.0149,0.00322,0.016,0.00398,0.00666,0.00605,0.00261,0.0016,0.00918
0,1477,13249277952,478,1457,1476,2863,421,40493,3519.0,3307,268,10101,1342,475.0,733,66932,0.00325,0.0103,0.00209,0.0484,0.00227,0.0144,0.00318,0.0163,0.00385,0.00666,0.00605,0.00261,0.0016,0.0101
0,1518,13246627840,478,1457,1526,2863,421,40493,3478.0,3362,268,10101,1395,475.0,733,67050,0.00325,0.0105,0.00209,0.0484,0.00227,0.0208,0.00314,0.0165,0.00555,0.00666,0.00584,0.00261,0.0016,0.0108
0,1549,13244485632,461,1982,1526,3643,421,42412,3438.0,3417,268,10101,1395,475.0,733,70271,0.00355,0.0147,0.00209,0.0484,0.00227,0.0208,0.00311,0.0168,0.00555,0.00666,0.00802,0.00262,0.00191,0.0114
0,1549,13248430080,655,1982,1526,3643,421,42412,3397.0,3471,268,10101,1798,492.0,733,70899,0.00354,0.0147,0.00209,0.0484,0.00227,0.0208,0.00307,0.0171,0.00555,0.00875,0.00832,0.00262,0.00191,0.0116
0,1549,13254995968,678,1982,1994,3643,421,42412,3356.0,3231,265,10101,1798,492.0,743,71117,0.00356,0.0147,0.00202,0.0484,0.00227,0.0208,0.00303,0.0174,0.00572,0.00875,0.00832,0.00262,0.00191,0.0116
0,1508,13259108352,678,1982,1994,3643,422,42412,3144.0,4128,265,10101,1798,492.0,767,71826,0.00367,0.0147,0.00289,0.0484,0.00227,0.0208,0.003,0.0176,0.00591,0.00875,0.00832,0.00262,0.0019,0.0117
0,1508,13265465344,678,2058,1994,3643,422,53672,3289.0,4191,321,9800,1798,492.0,767,83125,0.00367,0.0147,0.00289,0.0499,0.00251,0.0208,0.00292,0.0179,0.00591,0.00875,0.00832,0.00262,0.00196,0.0119
0,1524,13266751488,678,2058,1994,3870,422,53672,3248.0,4254,321,13583,1798,600.0,767,87266,0.00367,0.0147,0.00289,0.0518,0.00251,0.0219,0.00289,0.0169,0.00591,0.00922,0.00832,0.00257,0.00196,0.0121
0,1497,13272018944,678,2058,1994,3870,458,53672,3207.0,4317,321,13677,1798,600.0,743,87394,0.00367,0.0147,0.00289,0.0502,0.00251,0.0219,0.00285,0.0201,0.00591,0.00922,0.00832,0.00278,0.00196,0.0123
